id,skill,category,subcategory,specialty
499,市场/公关/广告-推广/投放-游戏推广,市场/公关/广告,推广/投放,游戏推广
500,市场/公关/广告-推广/投放-媒介投放,市场/公关/广告,推广/投放,媒介投放
501,市场/公关/广告-推广/投放-媒介商务BD,市场/公关/广告,推广/投放,媒介商务BD
502,市场/公关/广告-推广/投放-信息流优化,市场/公关/广告,推广/投放,信息流优化
503,市场/公关/广告-推广/投放-SEO,市场/公关/广告,推广/投放,SEO
504,市场/公关/广告-推广/投放-SEM,市场/公关/广告,推广/投放,SEM
506,市场/公关/广告-政府事务-政府关系,市场/公关/广告,政府事务,政府关系
507,市场/公关/广告-政府事务-项目申报,市场/公关/广告,政府事务,项目申报
508,市场/公关/广告-政府事务-政策研究,市场/公关/广告,政府事务,政策研究
509,市场/公关/广告-政府事务-社工,市场/公关/广告,政府事务,社工
511,市场/公关/广告-公关-品牌公关,市场/公关/广告,公关,品牌公关
513,市场/公关/广告-广告-策划,市场/公关/广告,广告,策划
514,市场/公关/广告-广告-文案,市场/公关/广告,广告,文案
515,市场/公关/广告-广告-广告客户执行,市场/公关/广告,广告,广告客户执行
516,市场/公关/广告-广告-广告设计,市场/公关/广告,广告,广告设计
517,市场/公关/广告-广告-美术指导,市场/公关/广告,广告,美术指导
518,市场/公关/广告-广告-广告制作,市场/公关/广告,广告,广告制作
519,市场/公关/广告-广告-广告审核,市场/公关/广告,广告,广告审核
521,市场/公关/广告-调研分析-市场调研,市场/公关/广告,调研分析,市场调研
522,市场/公关/广告-调研分析-选址开发,市场/公关/广告,调研分析,选址开发
523,市场/公关/广告-调研分析-商业数据分析,市场/公关/广告,调研分析,商业数据分析
525,物流/仓储/司机-物流/运输-物流运营,物流/仓储/司机,物流/运输,物流运营
526,物流/仓储/司机-物流/运输-物流跟单,物流/仓储/司机,物流/运输,物流跟单
527,物流/仓储/司机-物流/运输-调度,物流/仓储/司机,物流/运输,调度
528,物流/仓储/司机-物流/运输-跟车,物流/仓储/司机,物流/运输,跟车
529,物流/仓储/司机-物流/运输-水/空/陆运操作,物流/仓储/司机,物流/运输,水/空/陆运操作
530,物流/仓储/司机-物流/运输-集装箱管理,物流/仓储/司机,物流/运输,集装箱管理
532,物流/仓储/司机-配送理货-配/理/拣/发货,物流/仓储/司机,配送理货,配/理/拣/发货
533,物流/仓储/司机-配送理货-配送,物流/仓储/司机,配送理货,配送
534,物流/仓储/司机-配送理货-送餐,物流/仓储/司机,配送理货,送餐
535,物流/仓储/司机-配送理货-快递,物流/仓储/司机,配送理货,快递
536,物流/仓储/司机-配送理货-搬运/装卸,物流/仓储/司机,配送理货,搬运/装卸
537,物流/仓储/司机-配送理货-叉车,物流/仓储/司机,配送理货,叉车
539,物流/仓储/司机-驾驶-货运,物流/仓储/司机,驾驶,货运
540,物流/仓储/司机-驾驶-商务,物流/仓储/司机,驾驶,商务
541,物流/仓储/司机-驾驶-网约车,物流/仓储/司机,驾驶,网约车
542,物流/仓储/司机-驾驶-代驾,物流/仓储/司机,驾驶,代驾
543,物流/仓储/司机-驾驶-驾校,物流/仓储/司机,驾驶,驾校
544,物流/仓储/司机-驾驶-客运,物流/仓储/司机,驾驶,客运
545,物流/仓储/司机-驾驶-无人机,物流/仓储/司机,驾驶,无人机
549,采购/贸易-采购-采购,采购/贸易,采购,采购
550,采购/贸易-采购-买手,采购/贸易,采购,买手
552,采购/贸易-贸易-贸易/外贸,采购/贸易,贸易,贸易/外贸
553,采购/贸易-贸易-业务跟单,采购/贸易,贸易,业务跟单
554,采购/贸易-贸易-外贸销售,采购/贸易,贸易,外贸销售
556,汽车-新能源汽车-电池,汽车,新能源汽车,电池
557,汽车-新能源汽车-电机,汽车,新能源汽车,电机
559,汽车-汽车研发/制造-汽车质量,汽车,汽车研发/制造,汽车质量
560,汽车-汽车研发/制造-汽车工艺,汽车,汽车研发/制造,汽车工艺
561,汽车-汽车研发/制造-汽车设计,汽车,汽车研发/制造,汽车设计
562,汽车-汽车研发/制造-线束设计,汽车,汽车研发/制造,线束设计
563,汽车-汽车研发/制造-车身,汽车,汽车研发/制造,车身
564,汽车-汽车研发/制造-汽车造型设计,汽车,汽车研发/制造,汽车造型设计
565,汽车-汽车研发/制造-汽车零部件设计,汽车,汽车研发/制造,汽车零部件设计
566,汽车-汽车研发/制造-汽车电子,汽车,汽车研发/制造,汽车电子
567,汽车-汽车研发/制造-自动驾驶系统,汽车,汽车研发/制造,自动驾驶系统
568,汽车-汽车研发/制造-动力系统,汽车,汽车研发/制造,动力系统
569,汽车-汽车研发/制造-内外饰设计,汽车,汽车研发/制造,内外饰设计
570,汽车-汽车研发/制造-底盘,汽车,汽车研发/制造,底盘
571,汽车-汽车研发/制造-总布置,汽车,汽车研发/制造,总布置
573,汽车-汽车服务-维修,汽车,汽车服务,维修
574,汽车-汽车服务-美容,汽车,汽车服务,美容
575,汽车-汽车服务-洗车,汽车,汽车服务,洗车
576,汽车-汽车服务-改装,汽车,汽车服务,改装
577,汽车-汽车服务-二手车评估,汽车,汽车服务,二手车评估
578,汽车-汽车服务-查勘定损,汽车,汽车服务,查勘定损
579,汽车-汽车服务-加油,汽车,汽车服务,加油
582,医疗健康-医生-外科,医疗健康,医生,外科
583,医疗健康-医生-内科,医疗健康,医生,内科
584,医疗健康-医生-皮肤科,医疗健康,医生,皮肤科
585,医疗健康-医生-妇产科,医疗健康,医生,妇产科
586,医疗健康-医生-儿科,医疗健康,医生,儿科
587,医疗健康-医生-眼科,医疗健康,医生,眼科
588,医疗健康-医生-精神心理科,医疗健康,医生,精神心理科
589,医疗健康-医生-整形,医疗健康,医生,整形
590,医疗健康-医生-全科,医疗健康,医生,全科
591,医疗健康-医生-耳鼻喉科,医疗健康,医生,耳鼻喉科
592,医疗健康-医生-医学检验,医疗健康,医生,医学检验
593,医疗健康-医生-放射科,医疗健康,医生,放射科
594,医疗健康-医生-超声科,医疗健康,医生,超声科
595,医疗健康-医生-麻醉科,医疗健康,医生,麻醉科
596,医疗健康-医生-病理科,医疗健康,医生,病理科
597,医疗健康-医生-中医,医疗健康,医生,中医
598,医疗健康-医生-口腔科,医疗健康,医生,口腔科
599,医疗健康-医生-幼儿保健,医疗健康,医生,幼儿保健
600,医疗健康-医生-药剂,医疗健康,医生,药剂
601,医疗健康-医生-验光,医疗健康,医生,验光
603,医疗健康-理疗保健-理疗,医疗健康,理疗保健,理疗
604,医疗健康-理疗保健-营养/健康管理,医疗健康,理疗保健,营养/健康管理
605,医疗健康-理疗保健-针灸推拿,医疗健康,理疗保健,针灸推拿
606,医疗健康-理疗保健-康复治疗,医疗健康,理疗保健,康复治疗
607,医疗健康-理疗保健-产后康复,医疗健康,理疗保健,产后康复
608,医疗健康-理疗保健-心理咨询,医疗健康,理疗保健,心理咨询
609,医疗健康-理疗保健-按摩,医疗健康,理疗保健,按摩
610,医疗健康-理疗保健-足疗,医疗健康,理疗保健,足疗
611,医疗健康-理疗保健-采耳,医疗健康,理疗保健,采耳
613,医疗健康-药店-药师,医疗健康,药店,药师
615,医疗健康-生物/医药-医药研发,医疗健康,生物/医药,医药研发
616,医疗健康-生物/医药-药品生产,医疗健康,生物/医药,药品生产
617,医疗健康-生物/医药-药品注册,医疗健康,生物/医药,药品注册
618,医疗健康-生物/医药-细胞培养员,医疗健康,生物/医药,细胞培养员
619,医疗健康-生物/医药-药理毒理,医疗健康,生物/医药,药理毒理
620,医疗健康-生物/医药-药物合成,医疗健康,生物/医药,药物合成
621,医疗健康-生物/医药-制剂研发,医疗健康,生物/医药,制剂研发
622,医疗健康-生物/医药-药物分析,医疗健康,生物/医药,药物分析
624,医疗健康-临床试验-临床协调,医疗健康,临床试验,临床协调
625,医疗健康-临床试验-临床监查,医疗健康,临床试验,临床监查
626,医疗健康-临床试验-临床数据分析,医疗健康,临床试验,临床数据分析
628,医疗健康-医疗器械-医疗器械生产/质量管理,医疗健康,医疗器械,医疗器械生产/质量管理
629,医疗健康-医疗器械-医疗器械研发,医疗健康,医疗器械,医疗器械研发
630,医疗健康-医疗器械-医疗器械注册,医疗健康,医疗器械,医疗器械注册
631,医疗健康-医疗器械-试剂研发,医疗健康,医疗器械,试剂研发
637,项目管理-项目管理-建筑施工项目,项目管理,项目管理,建筑施工项目
638,项目管理-项目管理-装修项目,项目管理,项目管理,装修项目
639,项目管理-项目管理-软件项目,项目管理,项目管理,软件项目
640,项目管理-项目管理-房地产项目,项目管理,项目管理,房地产项目
641,项目管理-项目管理-通信项目,项目管理,项目管理,通信项目
642,项目管理-项目管理-硬件项目,项目管理,项目管理,硬件项目
643,项目管理-项目管理-咨询项目,项目管理,项目管理,咨询项目
644,项目管理-项目管理-物流/仓储项目,项目管理,项目管理,物流/仓储项目
645,项目管理-项目管理-广告/会展项目,项目管理,项目管理,广告/会展项目
646,项目管理-项目管理-汽车项目,项目管理,项目管理,汽车项目
647,项目管理-项目管理-生产制造项目,项目管理,项目管理,生产制造项目
648,项目管理-项目管理-化工项目,项目管理,项目管理,化工项目
649,项目管理-项目管理-临床项目,项目管理,项目管理,临床项目
650,项目管理-项目管理-医药项目,项目管理,项目管理,医药项目
652,咨询/翻译/法律-咨询-企业管理咨询,咨询/翻译/法律,咨询,企业管理咨询
653,咨询/翻译/法律-咨询-战略咨询,咨询/翻译/法律,咨询,战略咨询
654,咨询/翻译/法律-咨询-财务顾问,咨询/翻译/法律,咨询,财务顾问
655,咨询/翻译/法律-咨询-IT咨询,咨询/翻译/法律,咨询,IT咨询
656,咨询/翻译/法律-咨询-人力资源咨询,咨询/翻译/法律,咨询,人力资源咨询
657,咨询/翻译/法律-咨询-猎头顾问,咨询/翻译/法律,咨询,猎头顾问
658,咨询/翻译/法律-咨询-心理咨询,咨询/翻译/法律,咨询,心理咨询
659,咨询/翻译/法律-咨询-婚恋咨询,咨询/翻译/法律,咨询,婚恋咨询
661,咨询/翻译/法律-翻译-英语翻译,咨询/翻译/法律,翻译,英语翻译
662,咨询/翻译/法律-翻译-日语翻译,咨询/翻译/法律,翻译,日语翻译
663,咨询/翻译/法律-翻译-韩语/朝鲜语翻译,咨询/翻译/法律,翻译,韩语/朝鲜语翻译
664,咨询/翻译/法律-翻译-俄语翻译,咨询/翻译/法律,翻译,俄语翻译
665,咨询/翻译/法律-翻译-西班牙语翻译,咨询/翻译/法律,翻译,西班牙语翻译
666,咨询/翻译/法律-翻译-德语翻译,咨询/翻译/法律,翻译,德语翻译
667,咨询/翻译/法律-翻译-法语翻译,咨询/翻译/法律,翻译,法语翻译
668,咨询/翻译/法律-翻译-其他语种翻译,咨询/翻译/法律,翻译,其他语种翻译
670,咨询/翻译/法律-法律服务-律师,咨询/翻译/法律,法律服务,律师
672,能源/环保/农业-能源/-风电,能源/环保/农业,能源/,风电
673,能源/环保/农业-能源/-光伏,能源/环保/农业,能源/,光伏
674,能源/环保/农业-能源/-水利,能源/环保/农业,能源/,水利
675,能源/环保/农业-能源/-地质,能源/环保/农业,能源/,地质
677,能源/环保/农业-环保-EHS,能源/环保/农业,环保,EHS
678,能源/环保/农业-环保-环境采样/检测,能源/环保/农业,环保,环境采样/检测
679,能源/环保/农业-环保-环评,能源/环保/农业,环保,环评
680,能源/环保/农业-环保-环保,能源/环保/农业,环保,环保
681,能源/环保/农业-环保-碳排放管理,能源/环保/农业,环保,碳排放管理
683,能源/环保/农业-农/林/牧/渔-农业/林业,能源/环保/农业,农/林/牧/渔,农业/林业
684,能源/环保/农业-农/林/牧/渔-饲养,能源/环保/农业,农/林/牧/渔,饲养
685,能源/环保/农业-农/林/牧/渔-养殖,能源/环保/农业,农/林/牧/渔,养殖
686,能源/环保/农业-农/林/牧/渔-畜牧兽医,能源/环保/农业,农/林/牧/渔,畜牧兽医
689,其他-其他-其他,其他,其他,其他
690,航空航天-航空航天-飞行器设计,航空航天,航空航天,飞行器设计
691,航空航天-航空航天-航空发动机,航空航天,航空航天,航空发动机
692,航空航天-航空航天-飞行控制系统,航空航天,航空航天,飞行控制系统
693,航空航天-航空航天-航空材料,航空航天,航空航天,航空材料
694,航空航天-航空航天-空气动力学,航空航天,航空航天,空气动力学
695,航空航天-航空航天-航天器设计,航空航天,航空航天,航天器设计
696,航空航天-航空航天-卫星技术,航空航天,航空航天,卫星技术
697,航空航天-航空航天-火箭推进,航空航天,航空航天,火箭推进
698,航空航天-航空航天-导航系统,航空航天,航空航天,导航系统
699,航空航天-航空航天-航空电子,航空航天,航空航天,航空电子
700,航空航天-航空航天-无人机技术,航空航天,航空航天,无人机技术
701,航空航天-航空航天-航空维修,航空航天,航空航天,航空维修
702,航空航天-航空航天-飞行测试,航空航天,航空航天,飞行测试
703,航空航天-航空航天-航空制造,航空航天,航空航天,航空制造
704,航空航天-航空航天-航天工程,航空航天,航空航天,航天工程
706,社会服务-社会服务-志愿服务,社会服务,社会服务,志愿服务
707,社会服务-社会服务-养老助老,社会服务,社会服务,养老助老
708,社会服务-社会服务-社区服务,社会服务,社会服务,社区服务
709,社会服务-社会服务-环保服务,社会服务,社会服务,环保服务
710,社会服务-社会服务-慈善救助,社会服务,社会服务,慈善救助
